viscosity,Particle_density(g cm-3),Fluid_density (g cm-3),Diameter(cm),Shapefactor,Reynoldsnumber,C_d_exp
0.1499,2.123,1.17,0.434,0.559,42.4676,2.946
0.1499,1.749,1.17,0.498,0.672,43.0921,2.615
0.1499,1.672,1.17,0.487,0.835,43.6919,2.062
0.1499,2.356,1.17,0.382,0.795,44.1316,2.32
0.1499,1.668,1.17,0.51,0.663,45.7924,2.144
0.1499,2.151,1.17,0.409,0.667,45.8426,2.173
0.1499,1.729,1.17,0.489,0.787,46.0911,2.094
0.1499,2.305,1.17,0.38,0.866,46.2387,1.977
0.1499,2.26,1.17,0.378,1,46.7192,1.839
0.1499,2.078,1.17,0.426,0.797,49.1387,1.976
0.1499,2.448,1.17,0.388,0.732,49.7798,2.056
0.1499,1.564,1.17,0.491,0.715,50.3777,1.248
0.1499,2.1,1.17,0.412,0.913,52.8519,1.587
0.1499,1.804,1.17,0.525,0.686,53.0709,2.221
0.1499,1.701,1.17,0.527,0.68,53.1865,1.862
0.1499,2.167,1.17,0.458,0.818,58.7284,1.89
0.1499,2.139,1.17,0.502,0.621,58.8811,2.412
0.1499,2.167,1.17,0.451,0.855,60.002,1.728
0.1499,2,1.17,0.528,0.592,60.1667,2.295
0.0172,0.927,0.81,0.321,0.794,62.2832,3.498
0.1499,2.233,1.17,0.445,0.843,63.4868,1.582
0.1499,2.818,1.17,0.374,0.983,63.4896,1.454
0.1499,1.945,1.17,0.546,0.684,66.0675,1.97
0.1499,2.167,1.17,0.497,0.847,67.6858,1.815
0.1499,1.933,1.17,0.526,0.829,68.2599,1.619
0.1499,2.367,1.17,0.475,0.776,71.5999,1.706
0.1499,1.87,1.17,0.581,0.744,71.7647,1.814
0.1499,2.049,1.17,0.557,0.601,72.2874,1.974
0.1499,2.626,1.17,0.475,0.775,75.3323,1.869
0.1499,2.3,1.17,0.466,0.937,77.7065,1.291
0.0172,0.843,0.81,0.389,0.679,78.898,1.025
0.0172,0.866,0.81,0.404,0.811,79.3307,2.012
0.1499,2.694,1.17,0.473,0.797,79.5731,1.732
0.1499,2.073,1.17,0.561,0.61,80.0147,1.698
0.1499,2.167,1.17,0.556,0.757,83.77,1.662
0.1499,2.4,1.17,0.488,0.876,86.3359,1.306
0.1499,2.4,1.17,0.526,0.812,91.0717,1.471
0.1499,1.931,1.17,0.664,0.671,92.5132,1.771
0.1499,2.2,1.17,0.607,0.746,93.4437,1.799
0.0102,1.245,1,0.224,0.689,97.3956,3.632
0.1499,2.164,1.17,0.725,0.58,99.1425,2.619
0.0172,0.892,0.81,0.325,0.773,100.3243,0.971
0.1499,2.022,1.17,0.818,0.556,111.4378,2.559
0.0172,0.865,0.81,0.391,0.831,111.9725,0.893
0.1499,1.954,1.17,0.701,0.736,112.1487,1.463
0.0172,0.937,0.81,0.306,0.71,112.203,1.015
0.1499,2.367,1.17,0.634,0.851,119.9348,1.445
0.1499,2.026,1.17,0.764,0.677,125.7884,1.642
0.1499,2.367,1.17,0.624,0.796,126.6897,1.233
0.1499,3.033,1.17,0.553,0.746,129.3117,1.281
0.1499,2.295,1.17,0.657,0.845,131.1122,1.265
0.1499,1.5,1.17,1.018,0.514,138.0511,1.239
0.1499,1.937,1.17,0.822,0.707,139.5015,1.489
0.1499,2.467,1.17,0.669,0.862,142.8646,1.293
0.1499,2.201,1.17,0.808,0.691,150.9837,1.625
0.1499,2.6,1.17,0.659,0.78,151.2992,1.216
0.0172,0.951,0.81,0.342,0.86,152.1923,0.864
0.0172,1.02,0.81,0.399,0.788,166.6642,1.713
0.1499,2.098,1.17,0.823,0.717,166.7629,1.265
0.1499,1.815,1.17,1.036,0.748,180.4959,1.497
0.1499,2.567,1.17,0.773,0.83,181.6632,1.33
0.1499,2.037,1.17,0.956,0.679,193.8273,1.374
0.0172,0.981,0.81,0.481,0.692,195.1145,1.768
0.1499,2.567,1.17,0.705,0.827,200.4553,0.828
0.0102,1.304,1,0.236,0.822,201.5013,1.24
0.1499,2.033,1.17,0.971,0.782,206.4711,1.26
0.0102,1.667,1,0.227,0.602,220.0313,2.024
0.0172,1.14,0.81,0.396,0.855,234.3774,1.333
0.0172,1.227,0.81,0.415,0.69,251.4251,1.693
0.0172,1.379,0.81,0.346,0.821,277.1546,1.106
0.0102,1.6,1,0.218,0.87,281.8702,0.986
0.1499,2.31,1.17,1.036,0.79,296.1587,0.983
0.0102,1.658,1,0.233,0.761,298.7096,1.175
0.0172,0.986,0.81,0.488,0.797,305.6537,0.777
0.0102,1.477,1,0.244,0.788,314.4844,0.886
0.0172,1.26,0.81,0.429,0.672,315.4683,1.278
0.0102,1.889,1,0.218,0.806,320.0944,1.125
0.0102,1.414,1,0.28,0.638,334.9524,1.021
0.0102,1.763,1,0.264,0.708,353.4795,1.406
0.0102,1.488,1,0.267,0.708,369.1451,0.861
0.0102,1.895,1,0.246,0.677,370.2125,1.216
0.0172,1.209,0.81,0.453,0.862,380.4234,0.921
0.0172,1.189,0.81,0.468,0.857,405.0441,0.851
0.0172,1.21,0.81,0.487,0.741,406.2173,1.001
0.0102,1.889,1,0.258,0.87,413.1665,1.125
0.0102,1.467,1,0.288,0.866,437.244,0.732
0.0102,1.277,1,0.391,0.8,459.0094,0.988
0.0172,1.292,0.81,0.509,0.727,461.9249,1.067
0.0102,2.172,1,0.338,0.501,462.8955,2.66
0.0102,2.114,1,0.271,0.812,474.3009,1.237
0.0102,1.957,1,0.245,0.857,475.3393,0.779
0.0102,1.478,1,0.353,0.749,484.3167,1.126
0.0102,2.008,1,0.276,0.868,503.5557,1.046
0.0172,1.697,0.81,0.452,0.761,517.0524,1.102
0.0102,2.188,1,0.268,0.781,544.2822,0.968
0.0102,2.137,1,0.306,0.88,550.497,1.349
0.0102,2.005,1,0.306,0.957,582.1312,1.065
0.0102,1.521,1,0.378,0.674,592.9227,1.006
0.0102,2.082,1,0.272,1,603.2626,0.754
0.0102,1.515,1,0.411,0.749,606.9199,1.219
0.0102,1.897,1,0.289,1,610.5112,0.731
0.0102,1.563,1,0.377,0.732,616.8757,1
0.0102,2.095,1,0.342,0.628,623.2105,1.422
0.0102,2.15,1,0.299,1,651.5647,0.908
0.0102,2.039,1,0.314,0.97,654.408,0.943
0.0102,1.552,1,0.426,0.673,667.2371,1.208
0.0102,2.27,1,0.315,0.809,673.287,1.096
0.0102,2.086,1,0.335,0.784,700.8434,1.043
0.0102,1.676,1,0.435,0.679,701.6379,1.416
0.0102,1.903,1,0.374,0.604,705.2648,1.191
0.0102,2.119,1,0.341,0.903,715.1294,1.091
0.0102,1.465,1,0.502,0.689,717.2758,1.436
0.0102,2.01,1,0.302,1,727.8622,0.66
0.0102,1.913,1,0.371,0.753,752.1804,1.033
0.0102,2.123,1,0.434,0.559,754.2895,2.032
0.0102,1.975,1,0.344,0.917,760.8987,0.86
0.0102,1.749,1,0.498,0.672,779.5225,1.912
0.0102,2.512,1,0.315,0.856,815.7983,0.89
0.0102,1.624,1,0.516,0.723,827.9806,1.575
0.0102,1.473,1,0.438,0.727,830.5071,0.726
0.0102,2.073,1,0.395,0.809,836.1801,1.191
0.0102,2.478,1,0.353,0.827,848.226,1.135
0.0102,2.446,1,0.337,0.93,858.9209,0.943
0.0102,1.399,1,0.563,0.691,883.8372,1.148
0.0102,2.114,1,0.383,0.757,949.4363,0.87
0.0102,2.139,1,0.502,0.621,953.7695,1.996
0.0102,2.448,1,0.388,0.732,966.3755,1.141
0.0102,2.356,1,0.382,0.795,966.5411,1.021
0.0102,1.672,1,0.487,0.835,1024.1475,0.93
0.0102,2.078,1,0.426,0.797,1026.108,0.994
0.0102,1.701,1,0.527,0.68,1039.6147,1.19
0.0102,2.1,1,0.412,0.913,1080.9714,0.829
0.0102,2.26,1,0.378,1,1081.5541,0.732
0.0102,1.564,1,0.491,0.715,1087.1819,0.711
0.0102,1.668,1,0.51,0.663,1115.398,0.897
0.0102,1.729,1,0.489,0.787,1117.0512,0.86
0.0102,2.233,1,0.445,0.843,1149.4104,1.034
0.0102,2.151,1,0.409,0.667,1154.481,0.742
0.0102,2.305,1,0.38,0.866,1155.8816,0.671
0.0102,2.167,1,0.497,0.847,1163.7832,1.327
0.0102,2.073,1,0.561,0.61,1166.791,1.753
0.0102,1.933,1,0.526,0.829,1168.212,1.249
0.0102,2.167,1,0.458,0.818,1180.9563,1.01
0.0102,2.818,1,0.374,0.983,1199.8524,0.829
0.0102,2.167,1,0.451,0.855,1215.6626,0.91
0.0102,1.804,1,0.525,0.686,1221.2355,0.983
0.0102,1.247,1,0.924,0.556,1261.4812,1.537
0.0102,2.626,1,0.475,0.775,1268.0188,1.359
0.0102,2.2,1,0.607,0.746,1286.0348,2.043
0.0102,1.945,1,0.546,0.684,1291.6612,1.161
0.0102,2.049,1,0.557,0.601,1347.2093,1.253
0.0102,2,1,0.528,0.592,1360.9071,0.998
0.0102,2.694,1,0.473,0.797,1384.5355,1.174
0.0102,2.4,1,0.488,0.876,1449.5163,0.973
0.0102,1.931,1,0.664,0.671,1459.5043,1.609
0.0102,2.367,1,0.475,0.776,1502.5693,0.817
0.0102,1.87,1,0.581,0.744,1537.7691,0.907
0.0102,2.167,1,0.556,0.757,1613.5131,0.968
0.0102,2.3,1,0.466,0.937,1616.5123,0.634
0.0102,2.4,1,0.526,0.812,1705.2291,0.881
0.0102,2.185,1,0.694,0.761,1828.1752,1.492
0.0102,2.022,1,0.818,0.556,1901.7494,1.947
0.0102,1.954,1,0.701,0.736,1925.4521,1.116
0.0102,2.026,1,0.764,0.677,1956.6461,1.502
0.0102,2.164,1,0.725,0.58,1962.0915,1.446
0.0102,1.5,1,1.018,0.514,1995.4651,1.665
0.0102,2.367,1,0.624,0.796,2087.1425,0.958
0.0102,3.033,1,0.553,0.746,2182.1987,0.906
0.0102,2.295,1,0.657,0.845,2190.3578,0.963
0.0102,2.367,1,0.634,0.851,2195.2349,0.909
0.0102,2.071,1,0.756,0.658,2224.2595,1.177
0.0102,1.937,1,0.822,0.707,2256.0613,1.285
0.0102,1.614,1,1.122,0.53,2290.4155,2.079
0.0102,2.467,1,0.669,0.862,2294.1771,1.047
0.0102,2.6,1,0.659,0.78,2340.8129,1.049
0.0102,2.201,1,0.808,0.691,2389.908,1.395
0.0102,2.4,1,0.757,0.893,2650.1694,1.089
0.0102,2.037,1,0.956,0.679,2678.0091,1.59
0.0102,2.567,1,0.705,0.827,2751.1845,0.91
0.0102,2.567,1,0.773,0.83,2897.6024,1.082
0.0102,1.815,1,1.036,0.748,2935.7822,1.322
0.0102,2.098,1,0.823,0.717,3105.9824,0.797
0.0102,2.033,1,0.971,0.782,3347.6233,1.06
0.0102,1.897,1,1.301,0.566,3936.6867,1.601
0.0102,2.31,1,1.036,0.79,4423.2571,0.935
0.0102,2.014,1,1.487,0.661,4768.0067,1.843
0.0102,2.011,1,1.496,0.549,5212.8367,1.566
0.0102,1.823,1,1.821,0.837,6534.9714,1.464
0.0102,2.03,1,1.612,0.999,6548.966,1.265
0.0102,1.921,1,1.875,0.992,7160.9495,1.488
0.0102,1.959,1,1.981,0.662,7270.4604,1.772
0.0102,2.683,1,1.801,0.661,7680.2468,2.095
0.0102,2.167,1,1.958,0.57,8240.797,1.621
0.0102,2.409,1,1.708,0.421,8594.8375,1.195
0.0102,1.967,1,2.183,0.812,8736.9701,1.656
0.0102,2.181,1,2.015,0.686,8778.9001,1.575
0.0102,2.011,1,2.297,0.626,8882.9889,1.952
0.0102,2.178,1,2.24,0.74,9821.6668,1.725
0.1487,1.1708,1.1444,0.831,0.677,12.3559,6.707
0.1487,1.1708,1.1444,0.985,0.762,16.6048,6.19
0.1487,1.1708,1.1444,1.152,0.801,25.032,4.358
0.1487,1.1708,1.1444,1.241,0.806,30.6697,3.629
0.1487,1.1708,1.1444,1.42,0.792,36.518,3.839
0.1487,1.1708,1.1444,1.563,0.768,43.3092,3.639
0.1487,1.1708,1.1444,1.684,0.742,48.3251,3.654
0.1487,1.1708,1.1444,1.789,0.719,53.1434,3.626
0.1487,1.5103,1.1444,0.831,0.677,69.0343,2.978
0.1487,1.5103,1.1444,0.985,0.762,108.2153,2.02
0.1487,1.5103,1.1444,1.152,0.801,173.3182,1.26
0.1487,1.5103,1.1444,1.241,0.806,207.5647,1.098
0.1487,1.5103,1.1444,1.42,0.792,217.9606,1.494
0.1487,1.5103,1.1444,1.563,0.768,213.6225,2.073
0.1487,1.5103,1.1444,1.684,0.742,241.6645,2.025
0.1487,1.5103,1.1444,1.789,0.719,233.8502,2.595
0.1487,2.7032,1.1444,0.831,0.677,152.0864,2.614
0.1487,2.7032,1.1444,0.985,0.762,238.8102,1.767
0.1487,2.7032,1.1444,1.152,0.801,340.9722,1.387
0.1487,2.7032,1.1444,1.241,0.806,412.7233,1.183
0.1487,2.7032,1.1444,1.42,0.792,459.7274,1.43
0.1487,2.7032,1.1444,1.563,0.768,505.9954,1.574
0.1487,2.7032,1.1444,1.684,0.742,528.4922,1.804
0.1487,2.7032,1.1444,1.789,0.719,572.2932,1.846
0.1487,1.1708,1.1444,0.674,0.742,9.0197,6.713
0.1487,1.1708,1.1444,0.883,0.784,13.5716,6.671
0.1487,1.1708,1.1444,1.069,0.802,22.9332,4.154
0.1487,1.1708,1.1444,1.241,0.806,30.3069,3.716
0.1487,1.1708,1.1444,1.401,0.803,28.66,5.984
0.1487,1.1708,1.1444,1.626,0.791,49.5727,3.125
0.1487,1.1708,1.1444,1.836,0.774,41.1441,6.533
0.1487,1.1708,1.1444,1.969,0.762,63.9636,3.337
0.1487,1.5103,1.1444,0.674,0.742,52.4177,2.755
0.1487,1.5103,1.1444,0.883,0.784,97.8064,1.78
0.1487,1.5103,1.1444,1.069,0.802,151.7441,1.315
0.1487,1.5103,1.1444,1.241,0.806,206.6099,1.108
0.1487,1.5103,1.1444,1.401,0.803,263.6118,0.98
0.1487,1.5103,1.1444,1.626,0.791,295.134,1.222
0.1487,1.5103,1.1444,1.836,0.774,328.2058,1.423
0.1487,1.5103,1.1444,1.969,0.762,340.7958,1.629
0.1487,2.7032,1.1444,0.674,0.742,145.8281,1.516
0.1487,2.7032,1.1444,0.883,0.784,222.6404,1.464
0.1487,2.7032,1.1444,1.069,0.802,332.2308,1.169
0.1487,2.7032,1.1444,1.241,0.806,412.4846,1.185
0.1487,2.7032,1.1444,1.401,0.803,489.5925,1.211
0.1487,2.7032,1.1444,1.626,0.791,557.3614,1.46
0.1487,2.7032,1.1444,1.836,0.774,601.647,1.804
0.1487,2.7032,1.1444,1.969,0.762,664.1153,1.828
21.293,3.493,1.259,1.204,0.723,0.3617,108.32
21.293,3.095,1.259,1.191,0.881,0.3507,91.721
21.293,3.333,1.259,1.277,0.856,0.4834,67.172
21.293,3.162,1.259,1.175,0.931,0.39,73.75
21.293,2.769,1.259,1.69,0.779,0.8502,36.611
21.293,3.628,1.259,1.295,0.669,0.4551,90.204
21.293,3.309,1.259,1.321,0.836,0.4978,69.222
21.293,3.622,1.259,1.279,0.787,0.4861,76.048
21.293,2.993,1.259,1.433,0.855,0.5466,61.985
21.293,3.527,1.259,1.065,0.815,0.288,120.053
21.293,3.248,1.259,1.472,0.86,0.725,43.82
21.293,2.863,1.259,1.26,0.9,0.3899,76.699
21.293,2.926,1.259,1.028,0.838,0.2146,142.778
21.293,3.502,1.259,0.678,0.855,0.0794,402.717
21.293,2.925,1.259,0.745,0.967,0.094,283.312
21.293,3.397,1.259,0.786,0.811,0.1275,232.077
21.293,3.271,1.259,1.132,0.813,0.2856,129.952
21.293,3.355,1.259,1.011,0.807,0.2626,113.965
21.293,3.805,1.259,0.844,0.7,0.1445,266.032
21.293,3.632,1.259,0.645,0.83,0.0726,438.046
21.293,3.404,1.259,0.828,0.796,0.1368,236.317
21.293,3.347,1.259,1.023,0.829,0.2411,139.464
21.293,3.375,1.259,0.677,0.853,0.0793,379.396
21.293,2.904,1.259,1.073,0.929,0.2628,107.052
21.293,3.431,1.259,0.684,0.858,0.0843,355.995
21.293,3.262,1.259,0.802,0.816,0.1336,209.953
21.293,3.72,1.259,0.922,0.762,0.1938,186.385
21.293,3.785,1.259,0.728,0.68,0.1017,342.45
21.293,2.884,1.259,0.883,0.934,0.1538,171.815
21.293,3.545,1.259,0.957,0.755,0.2085,167.655
21.293,3.491,1.259,0.888,0.836,0.1774,180.486
21.293,3.219,1.259,1.738,0.813,1.0073,36.809
21.293,3.377,1.259,1.56,0.725,0.7686,49.462
21.293,3.269,1.259,1.196,0.807,0.3862,83.739
21.293,2.954,1.259,0.974,0.963,0.2224,115.101
21.293,3.503,1.259,1.309,0.788,0.4894,76.277
21.293,3.464,1.259,0.971,0.841,0.2261,143.538
21.293,3.432,1.259,1.076,0.813,0.3021,107.635
21.293,3.297,1.259,1.25,0.876,0.4731,64.59
21.293,3.452,1.259,1.165,0.898,0.4006,78.422
21.293,3.33,1.259,1.181,0.81,0.3689,91.038
21.293,3.311,1.259,1.127,0.865,0.3437,90.379
21.293,3.009,1.259,1.002,0.78,0.1865,183.554
21.293,3.14,1.259,1.069,0.876,0.3019,91.664
21.293,3.261,1.259,0.795,0.898,0.1278,223.8
21.293,3.258,1.259,1.381,0.88,0.6243,49.079
21.293,3.402,1.259,0.889,0.859,0.1829,163.469
21.293,2.779,1.259,1.174,0.972,0.3455,74.817
21.293,3.233,1.259,1.862,0.89,1.3643,24.853
21.293,3.301,1.259,0.718,0.933,0.0992,278.982
21.293,3.259,1.259,0.734,0.942,0.1103,236.383
10.21,2.41,1.23,1.507,1,1.921,16.895
10.21,2.41,1.23,1.266,0.904,1.0705,32.23
10.21,2.41,1.23,1.096,1,0.829,34.863
10.21,2.41,1.23,1.267,0.917,1.22,24.912
10.21,2.41,1.23,1.166,0.952,0.9721,30.557
10.21,2.41,1.23,0.853,0.784,0.3453,94.803
10.21,2.41,1.23,1.117,0.983,0.8061,39.067
10.21,2.41,1.23,1.379,0.871,1.5701,19.379
10.21,2.41,1.23,1.101,1,0.7988,38.136
10.21,2.41,1.23,0.992,1,0.5972,49.767
10.21,2.41,1.23,0.954,0.846,0.5161,59.387
10.21,2.41,1.23,1.601,0.89,2.0179,18.366
10.21,2.41,1.23,1.438,0.838,1.4935,24.288
10.21,2.41,1.23,1.141,0.744,0.7338,50.197
10.21,2.41,1.23,1.302,0.789,1.2772,24.666
10.21,2.41,1.23,1.282,0.857,1.1324,29.949
10.21,2.41,1.23,0.978,0.863,0.5939,48.321
10.21,2.41,1.23,1.036,0.828,0.5581,65.091
10.21,2.41,1.23,1.045,0.949,0.685,44.32
10.21,2.41,1.23,0.875,0.946,0.4457,61.331
10.21,2.41,1.23,0.999,0.756,0.5464,60.817
10.21,2.41,1.23,0.51,0.586,0.081,367.004
10.21,2.41,1.23,0.502,0.803,0.0787,373.021
10.21,2.41,1.23,0.996,0.896,0.6154,47.481
10.21,2.41,1.23,0.551,0.74,0.1029,287.747
10.21,2.41,1.23,0.798,1,0.3491,76.023
10.21,2.41,1.23,0.827,1,0.3717,74.598
10.21,2.41,1.23,0.865,0.955,0.4167,67.82
10.21,2.41,1.23,0.914,0.969,0.5189,51.727
10.21,2.41,1.23,0.519,0.976,0.09,313.828
10.21,2.41,1.23,1.203,0.91,1.0084,31.153
10.21,2.41,1.23,1.036,0.869,0.6613,46.268
10.21,2.41,1.23,0.994,0.848,0.5786,53.49
10.21,2.41,1.23,0.87,1,0.4077,72.146
10.21,2.41,1.23,1.025,0.882,0.6063,53.353
10.21,2.41,1.23,0.862,0.936,0.3958,74.538
10.21,2.41,1.23,0.824,0.999,0.3871,67.981
10.21,2.41,1.23,0.88,0.904,0.4285,67.684
10.21,2.41,1.23,0.889,0.88,0.4326,68.333
10.21,2.41,1.23,0.92,0.922,0.45,70.045
10.21,2.41,1.23,0.767,0.902,0.2938,95.154
10.21,2.41,1.23,0.657,0.895,0.1987,130.876
10.21,2.41,1.23,0.713,0.811,0.2509,104.979
10.21,2.41,1.23,1.026,0.953,0.6775,42.883
10.21,2.41,1.23,0.933,0.797,0.5622,46.848
10.21,2.41,1.23,0.764,0.947,0.3054,86.939
10.21,2.41,1.23,0.688,0.857,0.2321,110.123
10.21,2.41,1.23,0.914,0.836,0.4602,65.63
10.21,2.41,1.23,0.599,0.829,0.1436,189.756
10.21,2.41,1.23,0.852,0.855,0.386,75.64
10.21,2.41,1.23,0.769,0.983,0.3065,88.032
10.21,2.41,1.23,0.913,0.81,0.4551,66.812
10.21,2.41,1.23,0.566,0.759,0.0948,367.701
10.21,2.41,1.23,0.608,0.781,0.1508,179.655
10.21,2.41,1.23,0.503,0.869,0.0716,453.688
10.21,2.41,1.23,0.486,0.899,0.0726,396.758
10.21,2.41,1.23,0.645,0.918,0.1586,194.559
10.21,2.41,1.23,0.574,1,0.1183,246.445
10.21,2.41,1.23,0.543,0.964,0.1119,233.008
10.21,2.41,1.23,0.584,0.943,0.1315,209.469
10.21,2.41,1.23,0.539,0.962,0.1027,271.115
10.21,2.41,1.23,0.509,0.736,0.0882,307.768
10.21,2.41,1.23,0.611,0.939,0.1362,224.061
10.21,2.41,1.23,0.458,1,0.0557,563.03
10.21,2.41,1.23,0.582,0.769,0.1157,268.335
10.21,2.41,1.23,0.57,0.835,0.1065,297.843
10.21,2.41,1.23,0.536,0.895,0.0981,290.955
10.21,2.41,1.23,0.56,0.989,0.1283,194.771
10.21,2.41,1.23,0.463,0.843,0.0635,446.759
10.21,2.41,1.23,0.443,0.907,0.0577,477.012
10.21,2.41,1.23,0.397,0.612,0.0378,798.364
10.21,2.41,1.23,0.455,0.836,0.0647,410.202
10.3,2.491,1.236,0.536,0.737,0.0885,375.872
10.3,2.486,1.236,0.586,0.693,0.1063,339.189
10.3,2.969,1.236,0.592,0.687,0.1096,456.88
10.3,2.682,1.236,0.649,0.64,0.133,341.015
10.3,2.393,1.236,0.709,0.596,0.1527,269.229
10.3,3.05,1.236,0.682,0.615,0.1564,359.094
10.3,4.855,1.236,0.607,0.798,0.1403,626.735
10.3,3.71,1.236,0.687,0.741,0.1833,363.576
10.3,3.666,1.236,0.711,0.724,0.1981,339.835
10.3,3.613,1.236,0.735,0.708,0.2205,296.251
10.3,3.475,1.236,0.765,0.688,0.2271,295.779
10.3,3.192,1.236,0.806,0.661,0.2504,248.887
10.3,4.108,1.236,0.758,0.829,0.2756,250.917
10.3,4.006,1.236,0.781,0.819,0.2969,227.723
10.3,3.076,1.236,0.87,0.774,0.3849,124.39
10.3,3.066,1.236,0.887,0.765,0.4018,120.516
10.3,2.886,1.236,0.921,0.747,0.4291,106.768
10.3,2.789,1.236,0.948,0.733,0.4518,98.681
10.3,2.797,1.236,0.962,0.726,0.4744,94.131
10.3,2.818,1.236,0.975,0.719,0.4798,96.895
10.3,2.83,1.236,0.987,0.779,0.5626,73.886
10.3,2.903,1.236,0.993,0.777,0.566,77.63
10.3,2.523,1.236,1.055,0.749,0.6335,57.318
10.3,2.509,1.236,1.07,0.742,0.6622,54.234
10.3,2.396,1.236,1.1,0.728,0.7023,47.772
10.3,2.204,1.236,1.145,0.709,0.7451,39.921
10.3,2.133,1.236,1.171,0.827,0.959,23.874
0.01,1.072,0.998,0.16,0.59,42.79,2.16
0.01,1.228,0.998,0.14,0.78,73.91,1.51
0.01,1.24,0.998,0.16,0.63,82.87,1.88
0.01,1.353,0.998,0.57,0.73,1096.19,0.71
0.01,1.257,0.998,0.15,0.62,55.54,3.7
0.01,1.374,0.998,0.33,1,453.17,0.86
0.01,1.018,0.998,0.31,0.77,59.4,2.2
0.01,1.468,0.998,0.34,0.72,604.67,0.66
0.01,1.47,1,0.16,1,101.961,2.328
0.01,1.06,1,0.18,0.94,52.941,1.57
0.01,1.12,1,0.3,0.97,167.647,1.449
0.01,1.04,1,1.48,0.96,1610.588,0.628
0.01,1.06,1,1.17,0.96,1342.059,0.671
0.01,1.05,1,0.62,0.73,358.627,1.165
